Vehicle_make,Vehicle_type,Vehicle_year,Engine_type,Engine_displacement,Transmission_type,Number_of_cylinders,Vehicle_weight,Vehicle_length,Vehicle_width,Vehicle_height,Safety_rating,Number_of_airbags,ABS_presence,ESC_presence,TCS_presence,TPMS_presence,Crash_location,Weather_conditions,Road_surface_conditions,Time_of_day,Day_of_week,Driver_age,Driver_gender,Crash_severity
Honda,sedan,2014,CNG,2631,manual,6,1754,4502,1451,1697,2,3,1.0,1.0,0.0,1.0,urban,clear,wet,night,Tuesday,71,Male,severe
Maruti Suzuki,hatchback,2021,petrol,842,automatic,6,1083,4521,1994,1646,3,1,1.0,0.0,0.0,1.0,urban,rain,dry,afternoon,nan,70,Male,moderate
Hyundai,sedan,2011,diesel,2265,manual,3,1510,3754,1854,1479,3,4,1.0,1.0,1.0,1.0,urban,clear,wet,afternoon,Tuesday,64,Male,severe
Maruti Suzuki,sedan,2010,petrol,2338,automatic,3,1947,4609,1905,1411,2,1,,1.0,0.0,1.0,urban,clear,dry,afternoon,Monday,26,nan,moderate
Mahindra,sedan,2016,CNG,1710,automatic,3,2390,4367,1987,1587,4,4,True,True,True,True,rural,rain,dry,morning,Thursday,35,Female,severe
Tata Motors,sedan,2017,electric,1406,automatic,6,1731,3680,1765,1435,2,3,1.0,1.0,0.0,1.0,rural,rain,muddy,afternoon,Sunday,36,Female,severe
Hyundai,sedan,2013,CNG,2218,automatic,3,2013,3648,1513,1551,2,2,1.0,1.0,1.0,1.0,nan,clear,nan,night,Saturday,37,Female,severe
Mahindra,sedan,2016,electric,2502,automatic,4,1454,4861,1969,1688,2,6,1.0,0.0,,1.0,rural,clear,dry,evening,Tuesday,60,Male,severe
Mahindra,sedan,2014,electric,1518,automatic,4,2140,4113,1852,1531,1,6,,1.0,1.0,1.0,urban,fog,dry,night,Thursday,76,Male,severe
Mahindra,hatchback,2011,petrol,1013,manual,4,2432,4614,1854,1455,2,5,1.0,1.0,1.0,1.0,urban,clear,nan,evening,Friday,62,Female,severe
Hyundai,hatchback,2015,CNG,931,automatic,3,1621,4048,1895,1517,4,7,True,True,True,True,urban,clear,muddy,afternoon,Friday,49,Female,severe
Hyundai,sedan,2022,petrol,2856,manual,6,996,4572,1745,1769,4,6,True,True,True,True,nan,clear,dry,afternoon,Saturday,37,Female,moderate
Honda,sedan,2005,diesel,2566,manual,6,1084,4562,1999,1663,4,2,True,True,True,True,rural,clear,dry,afternoon,Saturday,26,Female,severe
Honda,pickup,2001,CNG,952,automatic,3,2416,4054,1588,1588,2,2,1.0,1.0,1.0,1.0,urban,fog,dry,morning,Monday,82,Female,severe
Maruti Suzuki,sedan,2001,petrol,1282,automatic,3,1932,4729,1959,1407,1,3,1.0,,1.0,1.0,nan,clear,muddy,afternoon,Monday,22,Female,moderate
Hyundai,SUV,2015,CNG,2302,automatic,6,2032,4521,1973,1534,1,7,1.0,1.0,0.0,0.0,urban,fog,dry,evening,Tuesday,76,Female,severe
Hyundai,hatchback,2001,electric,1104,manual,4,914,3725,1607,1759,1,1,1.0,1.0,1.0,1.0,urban,clear,nan,evening,Wednesday,27,Male,severe
Hyundai,SUV,2007,diesel,2687,manual,6,1763,3937,1883,1434,2,7,0.0,1.0,,1.0,rural,clear,dry,evening,Wednesday,74,Female,severe
Honda,pickup,2006,CNG,1792,manual,6,1552,3531,1468,1478,3,5,1.0,0.0,0.0,1.0,urban,clear,muddy,morning,Saturday,53,Female,severe
Mahindra,sedan,2000,CNG,2351,manual,3,1693,4618,1468,1545,2,2,,,1.0,1.0,urban,clear,dry,afternoon,Saturday,84,Male,severe
Tata Motors,pickup,2003,diesel,1142,automatic,4,1305,4956,1451,1666,3,1,1.0,,1.0,1.0,urban,clear,dry,evening,nan,77,Female,severe
Honda,sedan,2010,petrol,1514,manual,4,1590,3501,1957,1621,1,5,1.0,1.0,0.0,0.0,rural,clear,wet,morning,Friday,82,Female,severe
Hyundai,hatchback,2019,CNG,2509,manual,4,1130,3802,1544,1486,4,3,True,True,True,True,urban,clear,dry,evening,Wednesday,51,Male,severe
Honda,sedan,2006,petrol,1857,manual,3,1795,3986,1888,1654,1,6,,1.0,0.0,1.0,rural,rain,dry,afternoon,Saturday,36,Male,severe
Maruti Suzuki,hatchback,2017,petrol,1270,manual,3,2027,4110,1996,1497,4,5,True,True,True,True,rural,fog,dry,evening,Friday,84,Female,moderate
Hyundai,SUV,2003,petrol,2499,automatic,4,1466,3889,1429,1671,4,6,True,True,True,True,urban,rain,dry,night,Wednesday,70,Male,severe
Maruti Suzuki,sedan,2016,petrol,1312,automatic,3,2138,4229,1834,1405,1,4,1.0,0.0,1.0,1.0,nan,clear,nan,evening,Tuesday,29,Female,moderate
Hyundai,hatchback,2010,petrol,1938,automatic,6,1064,4233,1944,1632,2,6,1.0,1.0,,1.0,urban,rain,nan,evening,Tuesday,26,Female,severe
Honda,SUV,2010,electric,2725,automatic,6,2112,4820,1761,1414,3,3,1.0,1.0,0.0,1.0,rural,nan,nan,morning,Wednesday,18,Male,severe
Mahindra,pickup,2019,petrol,1358,automatic,6,1381,4011,1648,1728,4,2,True,True,True,True,urban,clear,muddy,evening,Thursday,53,Male,severe
Tata Motors,hatchback,2010,electric,1591,manual,4,1490,4309,1436,1428,2,4,0.0,1.0,1.0,1.0,urban,clear,wet,morning,nan,79,Male,severe
Maruti Suzuki,sedan,2014,petrol,2001,manual,4,1280,4489,1414,1591,2,1,0.0,0.0,1.0,,urban,rain,dry,evening,Thursday,31,Female,moderate
Honda,pickup,2013,electric,2548,manual,6,1829,4083,1844,1633,1,2,,0.0,1.0,,nan,clear,dry,evening,Thursday,31,Male,severe
Mahindra,SUV,2016,electric,2593,manual,6,1443,4748,1492,1465,1,4,1.0,1.0,1.0,1.0,urban,clear,nan,morning,Friday,41,Male,severe
Honda,SUV,2001,petrol,1863,manual,4,1570,4149,1636,1766,1,6,1.0,1.0,1.0,1.0,rural,nan,dry,afternoon,Thursday,60,Female,severe
Maruti Suzuki,hatchback,2017,petrol,2557,automatic,4,1964,4733,1975,1496,1,6,1.0,1.0,1.0,1.0,urban,clear,wet,evening,Thursday,32,Male,moderate
Tata Motors,SUV,2015,CNG,2708,manual,4,1081,4635,1463,1629,4,3,True,True,True,True,urban,clear,wet,afternoon,Sunday,30,Female,severe
Honda,pickup,2011,CNG,2322,automatic,3,1089,4239,1703,1614,1,4,1.0,1.0,1.0,1.0,urban,clear,dry,afternoon,Friday,61,Female,severe
Hyundai,SUV,2009,diesel,2166,automatic,4,1004,4002,1625,1519,1,7,,1.0,,1.0,nan,rain,nan,morning,Friday,73,Male,severe
Mahindra,SUV,2015,electric,2496,automatic,6,2382,3830,1702,1540,2,4,1.0,1.0,,0.0,rural,fog,dry,afternoon,Wednesday,60,Male,severe
Honda,pickup,2002,petrol,2045,manual,3,1703,3891,1591,1470,2,6,1.0,1.0,0.0,0.0,nan,clear,nan,afternoon,Thursday,66,Male,severe
Mahindra,pickup,2007,diesel,2212,manual,4,1131,4268,1722,1712,3,6,1.0,1.0,1.0,1.0,urban,clear,wet,afternoon,Friday,66,Female,severe
Hyundai,SUV,2021,petrol,2770,manual,6,2471,4208,1672,1578,2,2,,1.0,1.0,1.0,rural,rain,dry,night,Monday,84,Female,severe
Tata Motors,pickup,2021,diesel,1542,automatic,4,1202,3950,1834,1612,1,6,1.0,1.0,1.0,0.0,urban,clear,wet,evening,Friday,20,Male,severe
Tata Motors,SUV,2001,CNG,2522,automatic,6,2056,3782,1826,1427,1,4,1.0,1.0,0.0,1.0,rural,clear,dry,evening,Monday,60,Male,severe
Hyundai,sedan,2021,diesel,1157,manual,6,831,3864,1525,1749,3,5,0.0,1.0,0.0,1.0,nan,clear,wet,night,nan,38,Female,severe
Mahindra,hatchback,2000,CNG,2752,automatic,6,991,3688,1603,1550,1,6,,,1.0,1.0,rural,clear,dry,evening,Sunday,70,Male,severe
Honda,hatchback,2013,diesel,839,automatic,3,1206,3624,1883,1524,3,2,1.0,,1.0,1.0,urban,clear,dry,morning,Thursday,64,Female,severe
Hyundai,SUV,2003,petrol,1846,automatic,4,1402,4439,1938,1740,3,5,1.0,1.0,1.0,1.0,urban,clear,dry,evening,Thursday,39,Male,severe
Maruti Suzuki,sedan,2003,petrol,2768,manual,4,2406,3986,1489,1768,1,4,,1.0,1.0,1.0,urban,clear,muddy,evening,Sunday,31,Male,moderate
Mahindra,SUV,2008,diesel,1804,automatic,6,2121,4435,1958,1656,2,6,0.0,1.0,1.0,0.0,urban,clear,wet,afternoon,Sunday,77,Female,severe
Tata Motors,pickup,2002,electric,2674,manual,4,834,4406,1439,1751,2,7,,1.0,,0.0,urban,clear,dry,morning,Wednesday,67,Male,severe
Hyundai,sedan,2004,electric,2534,manual,4,2043,4376,1980,1743,2,5,,0.0,1.0,0.0,urban,clear,dry,morning,Friday,59,Female,severe
Tata Motors,hatchback,2000,diesel,1737,automatic,3,2441,4150,1559,1598,3,7,1.0,0.0,1.0,1.0,rural,nan,dry,night,nan,32,Male,severe
Mahindra,hatchback,2021,electric,2994,automatic,3,1131,4113,1499,1562,2,3,1.0,1.0,1.0,,urban,clear,wet,evening,nan,82,Male,severe
Tata Motors,pickup,2018,petrol,829,automatic,4,1819,4834,1907,1691,3,6,,0.0,1.0,1.0,urban,rain,dry,night,nan,62,Male,severe
Hyundai,sedan,2000,electric,2954,manual,4,1875,3907,1700,1413,4,3,True,True,True,True,urban,nan,nan,morning,Monday,19,Female,severe
Mahindra,sedan,2009,diesel,2501,manual,4,816,4841,1643,1583,3,4,1.0,1.0,,0.0,urban,clear,nan,evening,Saturday,33,Male,severe
Maruti Suzuki,sedan,2021,petrol,1189,automatic,3,1653,4670,1735,1461,1,5,0.0,,0.0,1.0,urban,rain,dry,evening,Tuesday,37,Male,moderate
Hyundai,pickup,2011,diesel,1944,automatic,4,808,4000,1905,1795,1,4,1.0,0.0,1.0,1.0,urban,fog,nan,afternoon,Friday,51,Female,severe
Honda,hatchback,2009,petrol,1146,manual,3,979,4875,1779,1502,2,3,1.0,1.0,1.0,0.0,urban,clear,wet,afternoon,Monday,72,Female,severe
Hyundai,hatchback,2001,CNG,918,automatic,6,802,4307,1948,1742,1,5,1.0,0.0,1.0,1.0,urban,rain,wet,evening,Sunday,47,Male,severe
Mahindra,sedan,2015,petrol,1319,manual,6,2101,3857,1542,1541,2,3,1.0,1.0,1.0,1.0,rural,rain,wet,morning,Sunday,46,Male,severe
Hyundai,pickup,2007,petrol,2038,automatic,4,1493,3772,1730,1589,4,5,True,True,True,True,urban,clear,wet,evening,Wednesday,46,Female,severe
Maruti Suzuki,sedan,2013,petrol,2927,automatic,3,966,4366,1899,1517,3,6,0.0,0.0,1.0,1.0,urban,clear,muddy,morning,Friday,34,Female,moderate
Maruti Suzuki,hatchback,2014,petrol,1383,automatic,6,2074,4009,1664,1616,1,2,1.0,0.0,1.0,1.0,urban,clear,dry,night,nan,63,Male,moderate
Honda,sedan,2015,petrol,2508,manual,3,2097,4535,1481,1421,2,4,1.0,1.0,1.0,0.0,urban,rain,nan,afternoon,nan,69,Male,severe
Tata Motors,pickup,2010,electric,2112,automatic,3,2416,4666,1536,1512,4,7,True,True,True,True,rural,clear,dry,afternoon,Saturday,70,Male,severe
Mahindra,sedan,2011,diesel,2781,automatic,6,826,4690,1440,1500,1,7,0.0,1.0,1.0,1.0,urban,fog,dry,afternoon,Tuesday,70,Female,severe
Mahindra,sedan,2001,electric,1845,manual,4,917,3768,1435,1428,1,6,1.0,1.0,0.0,1.0,rural,fog,muddy,night,Friday,34,Male,severe
Tata Motors,sedan,2003,diesel,2925,manual,4,1538,3593,1976,1474,4,6,True,True,True,True,rural,clear,dry,afternoon,Thursday,29,Female,severe
Maruti Suzuki,sedan,2002,petrol,1541,manual,6,1151,3605,1432,1749,3,5,,1.0,1.0,0.0,urban,clear,nan,afternoon,Saturday,21,Female,moderate
Maruti Suzuki,sedan,2008,petrol,1471,manual,3,994,4836,1976,1586,1,6,1.0,1.0,1.0,,urban,clear,dry,evening,nan,40,Female,moderate
Hyundai,pickup,2017,CNG,2571,manual,4,1452,3735,1837,1741,4,6,True,True,True,True,rural,clear,dry,evening,Saturday,66,Female,severe
Honda,SUV,2018,petrol,2492,manual,4,2096,3559,1522,1414,2,5,1.0,1.0,1.0,1.0,rural,fog,dry,afternoon,Monday,40,Male,severe
Honda,hatchback,2006,electric,2877,manual,6,1116,4195,1782,1548,1,2,0.0,0.0,,1.0,urban,clear,dry,night,Thursday,71,Male,severe
Honda,hatchback,2003,CNG,2496,manual,4,2225,4932,1730,1510,3,1,0.0,1.0,1.0,1.0,urban,rain,dry,afternoon,Monday,75,Male,severe
Hyundai,pickup,2005,electric,862,automatic,4,1554,4883,1575,1488,3,2,0.0,1.0,1.0,0.0,urban,rain,wet,afternoon,Monday,80,Male,severe
Honda,pickup,2018,electric,2253,automatic,4,2352,4756,1852,1646,4,5,True,True,True,True,nan,fog,dry,afternoon,Tuesday,24,Male,severe
Tata Motors,pickup,2000,CNG,956,automatic,6,1871,4447,1473,1732,3,6,1.0,1.0,1.0,1.0,urban,clear,wet,night,nan,61,Male,severe
Hyundai,pickup,2015,CNG,1576,automatic,6,1839,4624,1555,1470,2,6,1.0,1.0,0.0,1.0,urban,clear,nan,afternoon,Sunday,55,Female,severe
Tata Motors,SUV,2010,CNG,2981,manual,4,2293,4244,1927,1512,4,7,True,True,True,True,rural,rain,nan,afternoon,Friday,68,Male,severe
Hyundai,pickup,2021,petrol,2150,manual,3,2106,3586,1425,1795,4,1,True,True,True,True,urban,rain,wet,morning,Sunday,48,Male,severe
Honda,sedan,2003,petrol,2138,manual,3,813,4247,1453,1716,3,6,1.0,1.0,1.0,,nan,fog,dry,night,nan,37,Male,severe
Tata Motors,hatchback,2017,electric,805,manual,3,2171,4631,1605,1446,3,3,1.0,0.0,1.0,1.0,rural,clear,dry,evening,Monday,49,Female,severe
Tata Motors,pickup,2022,petrol,2079,manual,4,1166,4977,1592,1681,4,4,True,True,True,True,urban,clear,dry,night,nan,27,Male,severe
Tata Motors,sedan,2004,CNG,2702,automatic,4,1027,4148,1428,1468,2,7,0.0,1.0,1.0,1.0,urban,clear,muddy,morning,Monday,53,Male,severe
Hyundai,pickup,2021,diesel,1620,automatic,4,2451,3876,1667,1642,2,1,1.0,,1.0,1.0,nan,fog,muddy,evening,Sunday,80,nan,severe
Mahindra,sedan,2005,petrol,2143,manual,6,2196,3886,1468,1582,2,3,1.0,1.0,1.0,1.0,rural,clear,wet,evening,Friday,58,Male,severe
Honda,SUV,2001,CNG,2742,automatic,6,1802,3562,1431,1724,2,6,1.0,1.0,1.0,1.0,rural,fog,wet,evening,Monday,30,Female,severe
Tata Motors,hatchback,2011,CNG,803,manual,4,1535,3729,1665,1741,2,7,,1.0,1.0,1.0,urban,clear,dry,morning,Wednesday,53,Female,severe
Mahindra,hatchback,2021,CNG,830,manual,6,2364,3874,1532,1471,4,5,True,True,True,True,urban,clear,dry,morning,Monday,25,Female,severe
Honda,SUV,2008,CNG,2045,automatic,6,2363,3737,1682,1561,4,1,True,True,True,True,urban,clear,dry,afternoon,Friday,30,Male,severe
Honda,sedan,2019,electric,2452,automatic,3,2228,4360,1566,1650,1,2,1.0,1.0,1.0,1.0,urban,clear,dry,evening,Thursday,35,Male,severe
Tata Motors,pickup,2011,CNG,2098,manual,6,2231,3746,1415,1590,3,6,1.0,1.0,1.0,1.0,urban,clear,nan,afternoon,Tuesday,61,Female,severe
Tata Motors,sedan,2012,CNG,1508,automatic,3,1357,3885,1649,1525,2,4,1.0,,1.0,1.0,rural,nan,dry,night,Sunday,73,Female,severe
Hyundai,hatchback,2021,electric,1685,manual,3,1883,4561,1862,1577,3,6,1.0,0.0,0.0,1.0,rural,rain,nan,night,Friday,33,Female,severe
Mahindra,SUV,2022,petrol,2636,manual,4,1666,4767,1982,1640,4,7,True,True,True,True,rural,clear,dry,afternoon,Sunday,69,Female,severe
Mahindra,SUV,2016,diesel,1575,automatic,6,1459,4018,1609,1672,1,2,1.0,1.0,1.0,0.0,urban,clear,dry,afternoon,Wednesday,77,Female,severe
Tata Motors,sedan,2004,electric,1547,manual,6,1875,3859,1898,1520,4,2,True,True,True,True,urban,clear,nan,afternoon,Thursday,23,Male,severe
Honda,sedan,2019,electric,2926,manual,6,1973,4917,1994,1480,1,4,1.0,1.0,,1.0,rural,fog,dry,afternoon,Tuesday,81,Female,severe
Tata Motors,SUV,2012,petrol,2181,automatic,6,1455,4600,1608,1734,4,2,True,True,True,True,urban,rain,dry,afternoon,Monday,70,Female,severe
Honda,hatchback,2012,petrol,1004,manual,3,2484,4966,1925,1694,2,5,1.0,1.0,1.0,0.0,urban,fog,wet,night,nan,40,Male,severe
Honda,pickup,2009,CNG,2283,manual,4,971,3536,1696,1500,3,2,0.0,1.0,0.0,1.0,rural,clear,dry,afternoon,nan,21,Male,severe
Tata Motors,pickup,2014,petrol,2206,automatic,3,1117,3908,1985,1558,3,7,1.0,0.0,1.0,1.0,rural,nan,dry,evening,Monday,69,Female,severe
Maruti Suzuki,hatchback,2014,petrol,1132,automatic,4,2484,4873,1872,1457,1,5,,0.0,1.0,,urban,clear,wet,afternoon,Tuesday,28,Male,moderate
Mahindra,SUV,2017,electric,2903,automatic,6,1415,4343,1571,1424,1,2,1.0,1.0,1.0,1.0,rural,clear,nan,morning,Saturday,61,Female,severe
Honda,SUV,2017,diesel,2239,manual,4,1288,4784,1671,1674,4,6,True,True,True,True,rural,rain,wet,evening,Wednesday,43,Female,severe
Honda,SUV,2001,CNG,1764,manual,4,1450,4323,1525,1453,1,5,0.0,1.0,0.0,0.0,urban,fog,wet,afternoon,Saturday,37,Male,severe
Maruti Suzuki,hatchback,2022,petrol,2500,automatic,3,2455,4986,1935,1598,2,1,1.0,1.0,1.0,1.0,rural,clear,dry,afternoon,Wednesday,23,Female,moderate
Hyundai,sedan,2010,CNG,2892,automatic,3,2372,4053,1676,1401,4,5,True,True,True,True,nan,rain,dry,night,Tuesday,73,Female,severe
Maruti Suzuki,hatchback,2012,petrol,1256,manual,6,1483,4971,1904,1734,2,7,1.0,1.0,1.0,1.0,nan,nan,dry,morning,Tuesday,62,Female,moderate
Maruti Suzuki,hatchback,2010,petrol,1026,automatic,6,923,4517,1881,1421,1,6,1.0,1.0,1.0,1.0,urban,clear,wet,afternoon,Tuesday,63,Male,moderate
Honda,hatchback,2003,diesel,2846,manual,4,2101,3548,1811,1565,3,4,1.0,,1.0,1.0,urban,clear,dry,night,Sunday,39,Female,severe
Mahindra,sedan,2014,petrol,2899,manual,4,2035,4594,1834,1516,2,2,1.0,1.0,1.0,1.0,rural,rain,nan,night,nan,34,Female,severe
Maruti Suzuki,sedan,2021,petrol,2542,automatic,6,1505,3745,1562,1662,4,6,True,True,True,True,urban,clear,dry,evening,Saturday,37,Male,moderate
Hyundai,sedan,2022,electric,1270,manual,6,2250,3501,1665,1760,3,1,1.0,1.0,0.0,1.0,urban,rain,nan,morning,Saturday,47,Female,severe
Tata Motors,sedan,2010,CNG,1696,automatic,3,1258,4514,1717,1742,1,2,1.0,1.0,0.0,,urban,clear,dry,evening,nan,55,Female,severe
Maruti Suzuki,sedan,2017,petrol,2120,manual,6,2356,4334,1497,1465,2,6,1.0,1.0,1.0,1.0,urban,nan,dry,evening,Friday,78,Male,moderate
Maruti Suzuki,hatchback,2015,petrol,2464,manual,4,2480,3561,1999,1771,1,5,1.0,0.0,1.0,1.0,urban,clear,dry,evening,Monday,32,Female,moderate
Hyundai,pickup,2009,petrol,2325,manual,6,2115,4379,1519,1688,2,2,1.0,0.0,0.0,0.0,urban,clear,muddy,afternoon,nan,55,Female,severe
Mahindra,pickup,2011,CNG,2025,automatic,6,1965,4038,1961,1737,3,7,0.0,1.0,1.0,1.0,rural,rain,dry,evening,Saturday,48,Male,severe
Maruti Suzuki,sedan,2012,petrol,2245,manual,6,1476,3841,1440,1520,4,6,True,True,True,True,urban,clear,dry,evening,nan,34,Male,moderate
Maruti Suzuki,hatchback,2008,petrol,1473,manual,6,2211,3566,1446,1763,1,3,1.0,1.0,0.0,1.0,urban,clear,dry,afternoon,Tuesday,32,Male,moderate
Mahindra,pickup,2020,electric,1896,automatic,4,1445,4380,1888,1534,3,1,1.0,1.0,1.0,1.0,nan,clear,dry,night,nan,31,Female,severe
Hyundai,sedan,2012,electric,2032,automatic,6,977,4901,1915,1714,3,6,1.0,1.0,1.0,1.0,rural,rain,dry,morning,nan,73,Female,severe
Maruti Suzuki,hatchback,2005,petrol,1697,manual,6,1908,4225,1912,1615,4,3,True,True,True,True,rural,clear,dry,evening,Monday,77,Female,moderate
Mahindra,sedan,2005,diesel,2762,automatic,4,2028,4338,1666,1666,4,2,True,True,True,True,nan,rain,dry,evening,Monday,37,Male,severe
Maruti Suzuki,hatchback,2010,petrol,1647,manual,6,2373,3556,1511,1539,3,5,1.0,0.0,1.0,0.0,urban,clear,dry,evening,Tuesday,63,nan,moderate
Tata Motors,sedan,2018,CNG,2766,manual,4,2158,4809,1410,1545,2,1,1.0,1.0,,1.0,urban,clear,dry,night,Tuesday,58,Male,severe
Honda,hatchback,2010,diesel,1446,manual,6,2212,4979,1413,1784,3,6,1.0,1.0,1.0,1.0,urban,rain,dry,afternoon,Wednesday,82,Female,severe
Tata Motors,pickup,2009,diesel,1237,manual,6,1989,4978,1880,1520,3,1,,0.0,1.0,1.0,rural,clear,dry,afternoon,Sunday,30,Male,severe
Maruti Suzuki,sedan,2022,petrol,2300,manual,6,1335,3692,1742,1656,2,7,1.0,1.0,1.0,1.0,rural,clear,muddy,evening,Monday,61,Female,moderate
Hyundai,sedan,2014,petrol,2525,manual,3,2353,4125,1472,1682,1,5,1.0,0.0,0.0,1.0,rural,clear,dry,night,Monday,82,Male,severe
Honda,SUV,2012,electric,2522,automatic,4,2495,4645,1460,1646,3,1,,1.0,1.0,0.0,urban,clear,dry,afternoon,Friday,31,Male,severe
Tata Motors,pickup,2022,electric,2904,manual,4,2045,3602,1679,1472,2,7,1.0,0.0,1.0,1.0,urban,clear,dry,evening,Friday,27,nan,severe
Mahindra,sedan,2007,diesel,2543,manual,3,2437,4166,1426,1731,1,6,1.0,1.0,1.0,0.0,urban,clear,muddy,night,Friday,76,Female,severe
Hyundai,hatchback,2004,petrol,1125,automatic,6,1657,4085,1690,1719,2,5,1.0,1.0,1.0,,urban,rain,nan,afternoon,Sunday,54,Male,severe
Tata Motors,pickup,2001,petrol,1121,manual,4,1127,3853,1421,1448,2,6,1.0,1.0,1.0,1.0,urban,rain,dry,night,Monday,73,Female,severe
Mahindra,SUV,2015,electric,2452,manual,6,1400,3674,1922,1607,2,3,,,1.0,0.0,urban,clear,nan,evening,Friday,24,Female,severe
Maruti Suzuki,hatchback,2012,petrol,1065,manual,4,1469,3513,1854,1768,1,2,1.0,1.0,0.0,1.0,urban,clear,dry,night,Thursday,65,Male,moderate
Mahindra,hatchback,2018,petrol,1641,manual,6,2423,4397,1585,1649,1,1,1.0,1.0,1.0,1.0,nan,rain,muddy,morning,Wednesday,70,Female,severe
Tata Motors,SUV,2008,CNG,2374,automatic,6,2237,4178,1884,1562,3,1,0.0,0.0,1.0,1.0,urban,clear,nan,afternoon,Monday,31,Male,severe
Tata Motors,hatchback,2014,petrol,1482,manual,4,1956,4066,1475,1568,3,1,1.0,0.0,1.0,1.0,rural,clear,wet,morning,Friday,67,Male,severe
Maruti Suzuki,hatchback,2005,petrol,2871,automatic,3,1571,4993,1531,1434,3,3,0.0,,1.0,1.0,urban,clear,dry,afternoon,Monday,50,Female,moderate
Mahindra,SUV,2007,electric,2322,automatic,6,2002,4549,1892,1479,3,5,0.0,1.0,1.0,1.0,urban,nan,dry,evening,nan,51,Female,severe
Mahindra,hatchback,2013,petrol,2178,automatic,4,1622,3543,1593,1703,3,6,1.0,1.0,1.0,1.0,nan,clear,muddy,evening,nan,78,Male,moderate
Maruti Suzuki,hatchback,2004,petrol,2711,manual,4,1088,3537,1766,1569,1,5,1.0,1.0,1.0,1.0,urban,rain,dry,evening,nan,69,Male,moderate
Mahindra,hatchback,2016,petrol,2156,manual,3,2450,4347,1720,1639,4,3,True,True,True,True,urban,clear,dry,afternoon,Wednesday,65,Female,severe
Maruti Suzuki,sedan,2021,petrol,2687,automatic,4,2172,4023,1545,1735,2,2,1.0,1.0,,1.0,urban,clear,wet,night,Tuesday,35,Male,moderate
Hyundai,pickup,2006,diesel,2778,automatic,6,2110,4628,1753,1661,3,6,,1.0,1.0,1.0,urban,nan,muddy,night,Monday,29,Female,severe
Tata Motors,SUV,2008,diesel,2572,manual,6,2187,4887,1898,1755,2,3,1.0,0.0,1.0,0.0,urban,clear,dry,morning,Thursday,33,Female,severe
Hyundai,SUV,2015,electric,2992,manual,6,1906,3989,1764,1775,2,6,1.0,0.0,1.0,1.0,rural,clear,dry,morning,Monday,66,Male,severe
Honda,sedan,2017,electric,2270,manual,4,1036,4796,1695,1750,3,1,1.0,1.0,1.0,1.0,urban,rain,dry,night,Sunday,42,Female,severe
Honda,hatchback,2012,petrol,2200,manual,3,1237,4292,1567,1510,2,2,,1.0,1.0,,rural,clear,dry,evening,Friday,82,Male,severe
Honda,hatchback,2017,diesel,1002,manual,3,2062,4611,1578,1491,2,4,1.0,1.0,1.0,1.0,urban,clear,dry,afternoon,Saturday,65,Male,severe
Maruti Suzuki,sedan,2009,petrol,1426,automatic,4,1244,4150,1632,1690,4,7,True,True,True,True,urban,clear,nan,morning,Saturday,45,Male,moderate
Mahindra,hatchback,2000,CNG,2668,automatic,6,1889,4157,1792,1672,2,2,0.0,1.0,0.0,1.0,rural,clear,dry,evening,Friday,81,Male,severe
Hyundai,pickup,2020,diesel,2879,automatic,3,2483,3838,1656,1574,2,6,1.0,1.0,1.0,1.0,urban,clear,wet,night,Saturday,41,Female,severe
Hyundai,pickup,2017,diesel,1526,manual,6,1515,4849,1731,1685,4,3,True,True,True,True,urban,rain,dry,morning,nan,44,Female,severe
Hyundai,SUV,2018,diesel,1903,automatic,6,913,4098,1537,1643,2,6,,0.0,1.0,1.0,urban,clear,dry,morning,Monday,43,Female,severe
Hyundai,pickup,2001,petrol,2621,manual,6,988,4890,1810,1408,2,7,1.0,0.0,1.0,1.0,urban,rain,dry,morning,Tuesday,44,Female,severe
Honda,SUV,2003,CNG,1900,automatic,4,2419,4375,1802,1678,2,1,1.0,1.0,0.0,1.0,rural,fog,dry,afternoon,nan,41,Female,severe
Hyundai,hatchback,2010,petrol,1894,manual,3,1675,4276,1623,1444,2,7,1.0,1.0,1.0,,urban,clear,dry,afternoon,Saturday,82,Female,severe
Mahindra,hatchback,2002,electric,2446,automatic,4,1075,4645,1421,1464,2,6,1.0,1.0,1.0,1.0,rural,clear,dry,night,Friday,57,Male,severe
Honda,hatchback,2008,CNG,957,automatic,4,1740,4255,1986,1539,2,2,,1.0,0.0,1.0,urban,clear,dry,afternoon,Friday,59,Female,severe
Hyundai,sedan,2009,petrol,1348,manual,3,2435,4058,1671,1736,1,5,1.0,1.0,1.0,1.0,urban,clear,dry,evening,Thursday,33,Female,severe
Maruti Suzuki,hatchback,2001,petrol,2639,manual,6,2125,4445,1557,1573,4,2,True,True,True,True,urban,nan,dry,night,Friday,55,Male,moderate
Tata Motors,pickup,2006,CNG,2751,automatic,4,1684,3819,1794,1560,1,4,1.0,1.0,1.0,1.0,nan,clear,dry,afternoon,Saturday,60,Male,severe
Tata Motors,hatchback,2014,diesel,1858,automatic,4,1585,4888,1464,1527,1,6,1.0,1.0,1.0,1.0,urban,clear,muddy,morning,Wednesday,44,Male,severe
Tata Motors,sedan,2018,electric,1685,manual,4,1509,3802,1405,1677,4,6,True,True,True,True,urban,clear,dry,evening,Thursday,34,Male,severe
